HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank.1,Unnamed: 10,Unnamed: 11
28,France,VERY HIGH ,0.903,82.5,15.8,11.6,"45,937",-2,28,,
95,Ecuador,HIGH,0.740,73.7,14.6,8.8,"10,312",11,99,,
126,Nicaragua,MEDIUM ,0.667,73.8,12.6,7.1,"5,625",6,129,,
38,Portugal,VERY HIGH ,0.866,81.0,16.9,9.6,"33,155",3,39,,
18,United Kingdom,VERY HIGH ,0.929,80.7,17.3,13.4,"45,225",9,17,,
121,Iraq,MEDIUM ,0.686,70.4,12.1,7.9,"9,977",-12,122,,
66,Thailand,VERY HIGH ,0.800,78.7,15.9,8.7,"17,030",6,64,,
118,Kyrgyzstan,MEDIUM ,0.692,70.0,13.2,11.4,"4,566",26,121,,
120,Venezuela (Bolivarian Republic of),MEDIUM ,0.691,70.6,12.8,11.1,"4,811",20,118,,
32,Czechia,VERY HIGH ,0.889,77.7,16.2,12.9,"38,745",4,30,,
91,Algeria,HIGH,0.745,76.4,14.6,8.1,"10,800",13,96,,
70,Barbados,HIGH,0.790,77.6,15.7,9.9,"12,306",26,71,,
128,Cabo Verde,MEDIUM ,0.662,74.1,12.6,6.3,"6,230",2,127,,
173,Madagascar,LOW,0.501,64.5,10.1,5.1,"1,484",8,173,,
39,Latvia,VERY HIGH ,0.863,73.6,16.2,13.3,"32,803",4,37,,
190,Chad,LOW,0.394,52.5,8.0,2.6,"1,364",-7,190,,
177,Guinea-Bissau,LOW,0.483,59.7,10.6,3.6,"1,908",0,177,,
91,Tonga,HIGH,0.745,71.0,16.0,11.4,"6,822",34,90,,
163,Nigeria,LOW,0.535,52.7,10.1,7.2,"4,790",-22,163,,
102,Dominica,HIGH,0.720,72.8,13.3,8.1,"11,488",0,106,,
166,Benin,LOW,0.525,59.8,10.8,4.3,"3,409",-7,166,,
4,"Hong Kong, China (SAR)",VERY HIGH ,0.952,85.5,17.3,12.2,"62,607",6,4,,
154,Zambia,MEDIUM ,0.565,61.2,10.9,7.2,"3,218",7,154,,
88,Colombia,HIGH,0.752,72.8,14.4,8.9,"14,384",-7,88,,
23,Slovenia,VERY HIGH ,0.918,80.7,17.7,12.8,"39,746",10,23,,
160,Tanzania (United Republic of),LOW,0.549,66.2,9.2,6.4,"2,664",7,160,,
181,Sierra Leone,LOW,0.477,60.1,9.6,4.6,"1,622",-1,181,,
143,Nepal,MEDIUM ,0.602,68.4,12.9,5.1,"3,877",10,144,,
7,Sweden,VERY HIGH ,0.947,83.0,19.4,12.6,"54,489",9,9,,
144,Eswatini (Kingdom of),MEDIUM ,0.597,57.1,13.7,5.6,"7,679",-21,141,,
48,TÃ¼rkiye,VERY HIGH ,0.838,76.0,18.3,8.6,"31,033",-3,48,,
139,Namibia,MEDIUM ,0.615,59.3,11.9,7.2,"8,634",-23,134,,
189,Niger,LOW,0.400,61.6,7.0,2.1,"1,240",-3,189,,
90,Maldives,HIGH,0.747,79.9,12.6,7.3,"15,448",-14,97,,
114,Indonesia,HIGH,0.705,67.6,13.7,8.6,"11,466",-11,116,,
